user_id,email,joined_date,nickname,street,city,state,zip,genres
user_AQrv2BCA,fwilson@outlook.com,2021-03-01,fwilson,3026 Holden View Suite 495,South Jacksonport,Montana,1774.0,"Electronic,Latin,Indie,Gospel,Folk,Classical"
user_-6xZN_3p,powerschristopher@foxmail.com,2022-06-27,powerschristopher,693 Morris Plains,Port David,Michigan,,"Funk,Punk,Blues"
user_Ln1Ae2tE,joel00@gmail.com,2021-03-17,joel00,4880 Cassandra Street Apt. 158,Lake Patrickstad,Kentucky,66019.0,"Soul,Latin,Hip-Hop,R&B,Punk,Jazz,Rock,Classical"
user_kbOhT6O8,deborah79@outlook.com,2015-02-19,deborah79,8256 Glenda Highway Apt. 808,Lake Ruben,,,"Folk,Latin,Hip-Hop,Blues"
user__d4hoMKc,lhernandez@foxmail.com,2015-09-03,lhernandez,2455 Daniel Bypass Suite 546,Port Chelsea,,2591.0,Metal
user_qfEWa2K0,brucewesley@hotmail.com,2021-09-27,brucewesley,,,,,"R&B,Classical,Funk,Techno"
user_jnWtimC8,calvinweaver@gmail.com,2019-06-18,calvinweaver,36934 Wood Freeway Apt. 543,West Ashley,California,81526.0,"Pop,Hip-Hop,Classical,Country"
user_41YxyXQN,rjones@mail.com,2017-10-06,rjones,,South Daniel,Arkansas,98301.0,"R&B,Folk,Disco,Soul,Classical"
user_WKWGxlZa,robertsonbrandon@hotmail.com,2020-06-11,robertsonbrandon,7287 April Turnpike,Markport,Vermont,,"Folk,Gospel,Punk,Pop"
user_zoOuaU46,newmantimothy@college.edu,2021-07-12,newmantimothy,290 Kimberly Crossing Apt. 535,New Laura,,45188.0,"Funk,Punk,Folk"
user_0I-IPVxu,joseph37@yahoo.com,2019-11-17,joseph37,06666 Kristin Plaza,Harrellberg,Georgia,28117.0,"Metal,Country"
user_4pnqEDHT,davidchad@hotmail.com,2015-02-22,davidchad,4174 Michele Gardens Suite 245,Ortizbury,Delaware,53945.0,"Latin,Jazz,Rock"
user_kJ-3eJd6,douglas76@icloud.com,2018-08-24,douglas76,,North Kathrynmouth,Ohio,4861.0,"Folk,Techno,Soul,Gospel,Country,Blues,Disco,Metal"
user_eYOhuTa-,brianmatthews@protonmail.com,2016-09-29,brianmatthews,45206 Rios Field Suite 965,,Florida,35003.0,"Latin,Blues,Hip-Hop,Indie"
user_0ZIeALBX,charleslewis@university.edu,2017-10-15,charleslewis,8686 Cervantes Locks,Marshallfurt,Hawaii,58621.0,"Country,Classical,Soul,Indie,Metal,Techno,Blues,Pop,Gospel,Funk"
user_bHO43Y4w,pinedakelli@yahoo.com,2017-09-04,pinedakelli,4554 Pruitt Highway Suite 286,Sandrashire,,72700.0,"Gospel,Soul,Reggae,Electronic,Funk,R&B"
user_yKQpzaDr,ellengibson@yahoo.com,2018-02-08,ellengibson,9400 Wu Court,New Andre,New Hampshire,95877.0,"Indie,Punk,Soul"
user_GreBxzP-,zhill@hotmail.com,2020-07-25,zhill,59869 Brianna Divide,Desireeland,Louisiana,22007.0,Hip-Hop
user_JGtG43Xg,thompsoneric@gmail.com,2015-04-02,thompsoneric,6184 Eric Court,,Nebraska,43117.0,"Indie,Punk,Funk,Pop"
user_CAFn4Gif,kimberlymarshall@college.edu,2016-01-26,kimberlymarshall,,New Stephanie,Massachusetts,,"Reggae,Rock,Metal,R&B"
user_-2Ijew-e,fduran@protonmail.com,2017-11-13,fduran,3696 Woods Branch Apt. 039,Patrickshire,Utah,98257.0,"Classical,Blues,Pop"
user_vf7hilkg,brandi77@protonmail.com,2020-12-15,brandi77,7518 Wiggins Lights Suite 827,,Wisconsin,53247.0,"Reggae,Folk,Rock,Soul"
user_r5uhCh7S,pattonthomas@university.edu,2015-10-09,pattonthomas,841 Benjamin Loop,,,98193.0,"Folk,Metal,Blues,Electronic"
user_VZlJ6pol,scottnorman@protonmail.com,2017-02-16,scottnorman,4729 Crawford Brooks,Stewartview,Delaware,21491.0,"Country,Latin,Blues,Electronic,Metal"
user_JbVDqFFl,hphillips@protonmail.com,2016-04-08,hphillips,,Saraburgh,New Hampshire,16544.0,Metal
